Arquitetura;Precisão;duration;emissions;carbono_g;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;consumo_energia_wh;energia_W
GoogLeNet;FP16;1,10263717;0,00000828;0,00828000;0,00000751;40,80068303;228,64726380;5,74027634;0,00001250;0,00006990;0,00000175;0,00008420;0,08420000;0,00002579
GoogLeNet;FP16;1,10332329;0,00000489;0,00489000;0,00000443;40,27467472;116,49155660;5,74027634;0,00001230;0,00003570;0,00000176;0,00004970;0,04970000;0,00001523
GoogLeNet;FP16;1,09860731;0,00000732;0,00732000;0,00000666;40,87358060;197,64490170;5,74027634;0,00001250;0,00006020;0,00000175;0,00007440;0,07440000;0,00002270
GoogLeNet;FP16;1,09645280;0,00000559;0,00559000;0,00000510;40,89106888;140,31219310;5,74027634;0,00001240;0,00004270;0,00000175;0,00005690;0,05690000;0,00001733
GoogLeNet;FP16;1,11538167;0,00000579;0,00579000;0,00000519;40,16940991;144,44289420;5,74027634;0,00001240;0,00004470;0,00000177;0,00005890;0,05890000;0,00001825
VGG;FP32;1,78900787;0,00000988;0,00988000;0,00000552;35,81487627;160,69804850;5,74027920;0,00001780;0,00007980;0,00000285;0,00010044;0,10044000;0,00004991
VGG;FP32;1,77581240;0,00000979;0,00979000;0,00000552;36,51436542;159,83466230;5,74027920;0,00001800;0,00007880;0,00000283;0,00009960;0,09960000;0,00004913
VGG;FP32;1,78587956;0,00001150;0,01150000;0,00000643;36,84008281;193,18545030;5,74027920;0,00001820;0,00009570;0,00000284;0,00011680;0,11680000;0,00005794
VGG;FP32;1,77680474;0,00000728;0,00728000;0,00000410;36,45806832;108,02417550;5,74027920;0,00001800;0,00005320;0,00000283;0,00007400;0,07400000;0,00003652
VGG;FP32;1,77975959;0,00000868;0,00868000;0,00000487;36,61829993;136,22106090;5,74027920;0,00001810;0,00006730;0,00000283;0,00008820;0,08820000;0,00004360
VGG;FP32;1,80035107;0,00001120;0,01120000;0,00000623;36,69652644;185,99506070;5,74027920;0,00001830;0,00009290;0,00000287;0,00011410;0,11410000;0,00005706
VGG;FP32;1,78722467;0,00000890;0,00890000;0,00000498;36,46889456;140,28398190;5,74027920;0,00001810;0,00006960;0,00000285;0,00009050;0,09050000;0,00004493
VGG;FP32;1,78534339;0,00000822;0,00822000;0,00000460;36,55604157;126,30533350;5,74027920;0,00001810;0,00006260;0,00000284;0,00008350;0,08350000;0,00004141
VGG;FP32;1,77715438;0,00000714;0,00714000;0,00000402;36,70434123;104,63972460;5,74027920;0,00001810;0,00005160;0,00000283;0,00007260;0,07260000;0,00003584
VGG;FP32;1,78952669;0,00000867;0,00867000;0,00000484;36,31735488;135,37486460;5,74027920;0,00001800;0,00006720;0,00000285;0,00008810;0,08810000;0,00004379
VGG;FP16;1,53681607;0,00000648;0,00648000;0,00000422;37,62917001;111,26075360;5,74027920;0,00001600;0,00004740;0,00000245;0,00006590;0,06590000;0,00002813
VGG;FP16;1,52995940;0,00000958;0,00958000;0,00000626;37,80401880;185,81054790;5,74027920;0,00001600;0,00007890;0,00000244;0,00009740;0,09740000;0,00004139
VGG;FP16;1,53890249;0,00000682;0,00682000;0,00000443;37,70195652;119,02773870;5,74027920;0,00001610;0,00005080;0,00000245;0,00006940;0,06940000;0,00002967
VGG;FP16;1,53592298;0,00000624;0,00624000;0,00000406;37,61264704;105,41333140;5,74027920;0,00001600;0,00004490;0,00000245;0,00006340;0,06340000;0,00002705
VGG;FP16;1,55116556;0,00000686;0,00686000;0,00000442;37,50516399;119,06447550;5,74027920;0,00001610;0,00005120;0,00000247;0,00006970;0,06970000;0,00003003
VGG;FP16;1,54608392;0,00000659;0,00659000;0,00000426;37,55890710;112,83142450;5,74027920;0,00001610;0,00004840;0,00000246;0,00006700;0,06700000;0,00002877
VGG;FP16;1,54648873;0,00000911;0,00911000;0,00000589;37,66634991;172,39226930;5,74027920;0,00001620;0,00007400;0,00000246;0,00009260;0,09260000;0,00003978
VGG;FP16;1,53556922;0,00000953;0,00953000;0,00000620;37,92011554;183,69002050;5,74027920;0,00001620;0,00007830;0,00000245;0,00009690;0,09690000;0,00004133
VGG;FP16;1,53765425;0,00000875;0,00875000;0,00000569;37,86122328;164,84986450;5,74027920;0,00001620;0,00007030;0,00000245;0,00008890;0,08890000;0,00003797
VGG;FP16;1,52880397;0,00000912;0,00912000;0,00000597;37,88966091;175,00320130;5,74027920;0,00001610;0,00007420;0,00000243;0,00009280;0,09280000;0,00003941
ResNet;FP32;5,88682641;0,00002370;0,02370000;0,00000402;28,70115548;112,78507280;5,74028349;0,00004690;0,00018438;0,00000938;0,00024068;0,24068000;0,00039357
ResNet;FP32;5,86445298;0,00003050;0,03050000;0,00000519;31,03603839;153,40895880;5,74028349;0,00005050;0,00024979;0,00000935;0,00030966;0,30966000;0,00050444
ResNet;FP32;5,86065498;0,00003380;0,03380000;0,00000578;30,98272841;174,78051810;5,74028349;0,00005040;0,00028442;0,00000934;0,00034418;0,34418000;0,00056031
ResNet;FP32;5,86120480;0,00003120;0,03120000;0,00000531;30,83602931;158,02219530;5,74028349;0,00005020;0,00025722;0,00000934;0,00031675;0,31675000;0,00051570
ResNet;FP32;5,85566239;0,00003020;0,03020000;0,00000516;30,31859689;153,03236360;5,74028349;0,00004930;0,00024879;0,00000933;0,00030741;0,30741000;0,00050002
ResNet;FP32;5,87098552;0,00002510;0,02510000;0,00000427;30,24828223;120,47789980;5,74028349;0,00004930;0,00019643;0,00000936;0,00025510;0,25510000;0,00041602
ResNet;FP32;5,86653940;0,00003380;0,03380000;0,00000576;30,84827722;174,21434520;5,74028349;0,00005030;0,00028382;0,00000935;0,00034343;0,34343000;0,00055965
ResNet;FP32;5,88458978;0,00002820;0,02820000;0,00000479;29,88576011;139,74840440;5,74028349;0,00004880;0,00022831;0,00000938;0,00028651;0,28651000;0,00046833
ResNet;FP32;5,86851760;0,00002870;0,02870000;0,00000489;30,28195863;143,16346620;5,74028349;0,00004940;0,00023332;0,00000935;0,00029203;0,29203000;0,00047605
ResNet;FP32;5,85387854;0,00003400;0,03400000;0,00000581;30,95747123;176,16885840;5,74028349;0,00005030;0,00028640;0,00000933;0,00034605;0,34605000;0,00056270
ResNet;FP16;3,83253691;0,00001660;0,01660000;0,00000433;30,88182617;122,12250370;5,74028349;0,00003290;0,00012992;0,00000611;0,00016888;0,16888000;0,00017979
ResNet;FP16;3,85008289;0,00002090;0,02090000;0,00000543;30,89354019;162,25435940;5,74028349;0,00003300;0,00017347;0,00000614;0,00021263;0,21263000;0,00022740
ResNet;FP16;3,84335035;0,00002370;0,02370000;0,00000616;31,31917802;188,52248200;5,74028349;0,00003340;0,00020119;0,00000613;0,00024073;0,24073000;0,00025700
ResNet;FP16;3,83877516;0,00002150;0,02150000;0,00000561;33,12438590;166,47301570;5,74028349;0,00003530;0,00017738;0,00000612;0,00021878;0,21878000;0,00023329
ResNet;FP16;3,84617965;0,00001920;0,01920000;0,00000499;30,62187166;146,52677590;5,74028349;0,00003270;0,00015649;0,00000613;0,00019533;0,19533000;0,00020869
ResNet;FP16;3,83302678;0,00002180;0,02180000;0,00000569;32,67882262;169,94299650;5,74028349;0,00003480;0,00018085;0,00000611;0,00022173;0,22173000;0,00023608
ResNet;FP16;3,83833927;0,00002340;0,02340000;0,00000609;32,73423549;184,58609130;5,74028349;0,00003490;0,00019673;0,00000612;0,00023774;0,23774000;0,00025348
ResNet;FP16;3,82984024;0,00001740;0,01740000;0,00000454;32,43693606;128,06751310;5,74028349;0,00003450;0,00013620;0,00000610;0,00017679;0,17679000;0,00018808
ResNet;FP16;3,83267916;0,00001390;0,01390000;0,00000362;32,31056460;94,39000411;5,74028349;0,00003440;0,00010043;0,00000611;0,00014092;0,14092000;0,00015003
ResNet;FP16;3,85445708;0,00002220;0,02220000;0,00000576;32,73040368;172,40200220;5,74028349;0,00003500;0,00018449;0,00000614;0,00022566;0,22566000;0,00024161
