Arquitetura;Precisão;duration;carbono_g;emissions;emissions_rate;cpu_power;gpu_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;energia_consumida_wh;energia_W
GoogLeNet;FP16;618,3972092;3,610693;0,003610693;5,84E-06;25,45713494;188,8392848;0,004318777;0,031408878;0,000985786;0,03671344;36,71344;6,306524677
GoogLeNet;FP16;618,7857411;3,587201;0,003587201;5,80E-06;25,15784909;143,8073499;0,004304249;0,031183902;0,000986417;0,036474568;36,474568;6,269428498
GoogLeNet;FP16;618,7496444;2,662723;0,002662723;4,30E-06;25,25294005;105,1491808;0,004320049;0,02176809;0,000986358;0,027074497;27,074497;4,653426498
GoogLeNet;FP16;618,5483382;3,452368;0,003452368;5,58E-06;25,27558579;120,783126;0,004305762;0,029811788;0,000986045;0,035103595;35,103595;6,031463987
GoogLeNet;FP16;618,5788121;3,040753;0,003040753;4,92E-06;25,21574687;135,2903695;0,00430065;0,025631569;0,000986078;0,030918297;30,918297;5,312612064
GoogLeNet;FP16;618,716766;2,752523;0,002752523;4,45E-06;25,33148456;98,46672206;0,004318217;0,022683064;0,000986308;0,027987589;27,987589;4,810108487
VGG;FP32;2051,574083;9,375882;0,009375882;4,57E-06;25,21670775;118,3768324;0,015386931;0,076676491;0,003270314;0,095333735;95,333735;54,32894999
VGG;FP32;2047,163957;9,222009;0,009222009;4,50E-06;25,24375798;101,9303946;0,014280535;0,07622532;0,003263298;0,093769153;93,769153;53,32245286
VGG;FP32;2052,112495;9,273867;0,009273867;4,52E-06;25,12084175;119,859422;0,0142833;0,07674191;0,003271237;0,094296447;94,296447;53,75192142
VGG;FP32;2049,950394;9,345051;0,009345051;4,56E-06;25,02519426;147,8989044;0,015027917;0,07672455;0,003267775;0,095020241;95,020241;54,10743902
VGG;FP32;2046,173618;9,228073;0,009228073;4,51E-06;25,25002202;128,1046635;0,014237071;0,076332043;0,003261701;0,093830815;93,830815;53,33170506
VGG;FP32;2047,066147;9,242456;0,009242456;4,51E-06;25,19012696;126,6496874;0,014251482;0,076462434;0,00326314;0,093977056;93,977056;53,43812498
VGG;FP32;2047,782296;9,237189;0,009237189;4,51E-06;25,15687949;177,7832769;0,014249134;0,076410124;0,003264246;0,093923504;93,923504;53,42635796
VGG;FP32;2048,501732;9,244453;0,009244453;4,51E-06;25,22808241;166,8418333;0,014280168;0,076451788;0,003265411;0,093997366;93,997366;53,48715752
VGG;FP32;2050,520623;9,262773;0,009262773;4,52E-06;25,15172493;119,6090903;0,014267851;0,076647164;0,003268634;0,094183648;94,183648;53,64597571
